template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status,statistically_significant
TPL_0531,5,paid,deepening,accomplishment,early_morning,300,29,10,0.0967,0.3735,0.0209,NEUTRAL,True
TPL_0536,5,paid,deepening,ownership,evening,1000,86,25,0.086,0.2977,0.0246,NEUTRAL,True
TPL_0541,5,paid,expansion,accomplishment,afternoon,200,24,6,0.12,0.2728,0.0065,NEUTRAL,True
TPL_0546,5,paid,expansion,ownership,late_afternoon,500,119,55,0.238,0.4637,0.0058,GOOD,True
TPL_0551,5,paid,retention,accomplishment,late_afternoon,1000,153,53,0.153,0.3524,0.0095,NEUTRAL,True
TPL_0556,5,paid,retention,ownership,mid_morning,1000,93,19,0.093,0.2105,0.016,NEUTRAL,True
TPL_0566,5,trial,activation,empowerment,evening,500,78,17,0.156,0.2257,0.0116,NEUTRAL,True
TPL_0561,5,trial,activation,unpredictability,evening,500,111,60,0.222,0.5457,0.0082,GOOD,True
TPL_0576,5,trial,conversion_readiness,empowerment,mid_morning,800,242,102,0.3025,0.4254,0.0094,GOOD,True
TPL_0571,5,trial,conversion_readiness,unpredictability,night,300,27,7,0.09,0.2756,0.0194,NEUTRAL,True
TPL_0586,5,trial,feature_discovery,empowerment,night,500,69,41,0.138,0.6061,0.0128,NEUTRAL,True
TPL_0581,5,trial,feature_discovery,unpredictability,early_morning,200,34,17,0.17,0.5038,0.0044,GOOD,True
TPL_0596,5,trial,habit_formation,empowerment,mid_morning,800,202,131,0.2525,0.6522,0.0022,GOOD,True
TPL_0591,5,trial,habit_formation,unpredictability,evening,1000,34,4,0.034,0.1367,0.0516,BAD,True
