template_id,current_ctr,recommendations,priority
TPL_0047,,Template is well-optimized,LOW
TPL_0048,,Template is well-optimized,LOW
TPL_0049,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0050,,Template is well-optimized,LOW
TPL_0051,0.11,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0052,,Template is well-optimized,LOW
TPL_0053,,Template is well-optimized,LOW
TPL_0054,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0055,,Template is well-optimized,LOW
TPL_0056,0.15,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0057,,Template is well-optimized,LOW
TPL_0058,,Template is well-optimized,LOW
TPL_0059,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0060,,Template is well-optimized,LOW
TPL_0061,0.154,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0062,,Template is well-optimized,LOW
TPL_0063,,Template is well-optimized,LOW
TPL_0064,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0065,,Template is well-optimized,LOW
TPL_0066,0.03,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0067,,Template is well-optimized,LOW
TPL_0068,,Template is well-optimized,LOW
TPL_0069,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0070,,Template is well-optimized,LOW
TPL_0071,0.065,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0072,,Template is well-optimized,LOW
TPL_0073,,Template is well-optimized,LOW
TPL_0074,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0075,,Template is well-optimized,LOW
TPL_0076,0.085,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0077,,Template is well-optimized,LOW
TPL_0078,,Template is well-optimized,LOW
TPL_0079,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0080,,Template is well-optimized,LOW
TPL_0081,0.23,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0082,,Template is well-optimized,LOW
TPL_0083,,Template is well-optimized,LOW
TPL_0084,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0085,,Template is well-optimized,LOW
TPL_0086,0.2,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0087,,Template is well-optimized,LOW
TPL_0088,,Template is well-optimized,LOW
TPL_0089,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0090,,Template is well-optimized,LOW
TPL_0091,0.046,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0092,,Template is well-optimized,LOW
TPL_0093,,Template is well-optimized,LOW
TPL_0094,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0095,,Template is well-optimized,LOW
TPL_0096,0.187,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0097,,Template is well-optimized,LOW
TPL_0098,,Template is well-optimized,LOW
TPL_0099,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0100,,Template is well-optimized,LOW
TPL_0101,0.14,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0102,,Template is well-optimized,LOW
TPL_0103,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0104,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0105,,Template is well-optimized,LOW
TPL_0106,0.026,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0107,,Template is well-optimized,LOW
TPL_0108,,Template is well-optimized,LOW
TPL_0109,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0110,,Template is well-optimized,LOW
TPL_0111,0.077,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0112,,Template is well-optimized,LOW
TPL_0113,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0114,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0115,,Template is well-optimized,LOW
TPL_0116,0.037,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0117,,Template is well-optimized,LOW
TPL_0118,,Template is well-optimized,LOW
TPL_0119,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0120,,Template is well-optimized,LOW
TPL_0121,0.2033,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0122,,Template is well-optimized,LOW
TPL_0123,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0124,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0125,,Template is well-optimized,LOW
TPL_0126,0.0625,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0127,,Template is well-optimized,LOW
TPL_0128,,Template is well-optimized,LOW
TPL_0129,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0130,,Template is well-optimized,LOW
TPL_0131,0.1013,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0132,,Template is well-optimized,LOW
TPL_0133,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0134,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0135,,Template is well-optimized,LOW
TPL_0136,0.205,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0137,,Template is well-optimized,LOW
TPL_0138,,Template is well-optimized,LOW
TPL_0139,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0140,,Template is well-optimized,LOW
TPL_0141,0.13,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0142,,Template is well-optimized,LOW
TPL_0143,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0144,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0145,,Template is well-optimized,LOW
TPL_0146,0.11,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0147,,Template is well-optimized,LOW
TPL_0148,,Template is well-optimized,LOW
TPL_0149,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0150,,Template is well-optimized,LOW
TPL_0151,0.1833,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0152,,Template is well-optimized,LOW
TPL_0153,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0154,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0155,,Template is well-optimized,LOW
TPL_0156,0.24,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0157,,Template is well-optimized,LOW
TPL_0158,,Template is well-optimized,LOW
TPL_0159,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0160,,Template is well-optimized,LOW
TPL_0161,0.075,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0162,,Template is well-optimized,LOW
TPL_0163,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0164,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0165,,Template is well-optimized,LOW
TPL_0166,0.0375,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0167,,Template is well-optimized,LOW
TPL_0168,,Template is well-optimized,LOW
TPL_0169,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0170,,Template is well-optimized,LOW
TPL_0171,0.165,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0172,,Template is well-optimized,LOW
TPL_0173,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0174,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0175,,Template is well-optimized,LOW
TPL_0176,0.09,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0177,,Template is well-optimized,LOW
TPL_0178,,Template is well-optimized,LOW
TPL_0179,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0180,,Template is well-optimized,LOW
TPL_0181,0.175,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0182,,Template is well-optimized,LOW
TPL_0183,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0184,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0185,,Template is well-optimized,LOW
TPL_0186,0.1675,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0187,,Template is well-optimized,LOW
TPL_0188,,Template is well-optimized,LOW
TPL_0189,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0190,,Template is well-optimized,LOW
TPL_0191,0.175,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0192,,Template is well-optimized,LOW
TPL_0193,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0194,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0195,,Template is well-optimized,LOW
TPL_0196,0.0767,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0197,,Template is well-optimized,LOW
TPL_0198,,Template is well-optimized,LOW
TPL_0199,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0200,,Template is well-optimized,LOW
TPL_0201,0.1412,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0202,,Template is well-optimized,LOW
TPL_0203,,Template is well-optimized,LOW
TPL_0204,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0205,,Template is well-optimized,LOW
TPL_0206,0.227,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0207,,Template is well-optimized,LOW
TPL_0208,,Template is well-optimized,LOW
TPL_0209,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0210,,Template is well-optimized,LOW
TPL_0211,0.186,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0212,,Template is well-optimized,LOW
TPL_0213,,Template is well-optimized,LOW
TPL_0214,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0215,,Template is well-optimized,LOW
TPL_0216,0.0387,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0217,,Template is well-optimized,LOW
TPL_0218,,Template is well-optimized,LOW
TPL_0219,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0220,,Template is well-optimized,LOW
TPL_0221,0.104,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0222,,Template is well-optimized,LOW
TPL_0223,,Template is well-optimized,LOW
TPL_0224,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0225,,Template is well-optimized,LOW
TPL_0226,0.13,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0227,,Template is well-optimized,LOW
TPL_0228,,Template is well-optimized,LOW
TPL_0229,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0230,,Template is well-optimized,LOW
TPL_0231,0.02,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0232,,Template is well-optimized,LOW
TPL_0233,,Template is well-optimized,LOW
TPL_0234,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0235,,Template is well-optimized,LOW
TPL_0236,0.09,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0237,,Template is well-optimized,LOW
TPL_0238,,Template is well-optimized,LOW
TPL_0239,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0240,,Template is well-optimized,LOW
TPL_0241,0.131,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0242,,Template is well-optimized,LOW
TPL_0243,,Template is well-optimized,LOW
TPL_0244,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0245,,Template is well-optimized,LOW
TPL_0246,0.15,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0247,,Template is well-optimized,LOW
TPL_0248,,Template is well-optimized,LOW
TPL_0249,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0250,,Template is well-optimized,LOW
TPL_0251,0.15,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0252,,Template is well-optimized,LOW
TPL_0253,,Template is well-optimized,LOW
TPL_0254,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0255,,Template is well-optimized,LOW
TPL_0256,0.1275,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0257,,Template is well-optimized,LOW
TPL_0258,,Template is well-optimized,LOW
TPL_0259,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0260,,Template is well-optimized,LOW
TPL_0261,0.235,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0262,,Template is well-optimized,LOW
TPL_0263,,Template is well-optimized,LOW
TPL_0264,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0265,,Template is well-optimized,LOW
TPL_0266,0.215,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0267,,Template is well-optimized,LOW
TPL_0268,,Template is well-optimized,LOW
TPL_0269,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0270,,Template is well-optimized,LOW
TPL_0271,0.058,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0272,,Template is well-optimized,LOW
TPL_0273,,Template is well-optimized,LOW
TPL_0274,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0275,,Template is well-optimized,LOW
TPL_0276,0.15,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0277,,Template is well-optimized,LOW
TPL_0278,,Template is well-optimized,LOW
TPL_0279,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0280,,Template is well-optimized,LOW
TPL_0281,0.0767,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0282,,Template is well-optimized,LOW
TPL_0283,,Template is well-optimized,LOW
TPL_0284,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0285,,Template is well-optimized,LOW
TPL_0286,0.18,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0287,,Template is well-optimized,LOW
TPL_0288,,Template is well-optimized,LOW
TPL_0289,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0290,,Template is well-optimized,LOW
TPL_0291,0.078,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0292,,Template is well-optimized,LOW
TPL_0293,,Template is well-optimized,LOW
TPL_0294,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0295,,Template is well-optimized,LOW
TPL_0296,0.2025,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0297,,Template is well-optimized,LOW
TPL_0298,,Template is well-optimized,LOW
TPL_0299,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0300,,Template is well-optimized,LOW
TPL_0301,0.2238,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0302,,Template is well-optimized,LOW
TPL_0303,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0304,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0305,,Template is well-optimized,LOW
TPL_0306,0.126,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0307,,Template is well-optimized,LOW
TPL_0308,,Template is well-optimized,LOW
TPL_0309,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0310,,Template is well-optimized,LOW
TPL_0311,0.048,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0312,,Template is well-optimized,LOW
TPL_0313,,Template is well-optimized,LOW
TPL_0314,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0315,,Template is well-optimized,LOW
TPL_0316,0.0267,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0317,,Template is well-optimized,LOW
TPL_0318,,Template is well-optimized,LOW
TPL_0319,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0320,,Template is well-optimized,LOW
TPL_0321,0.1625,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0322,,Template is well-optimized,LOW
TPL_0323,,Template is well-optimized,LOW
TPL_0324,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0325,,Template is well-optimized,LOW
TPL_0326,0.166,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0327,,Template is well-optimized,LOW
TPL_0328,,Template is well-optimized,LOW
TPL_0329,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0330,,Template is well-optimized,LOW
TPL_0331,0.0933,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0332,,Template is well-optimized,LOW
TPL_0333,,Template is well-optimized,LOW
TPL_0334,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0335,,Template is well-optimized,LOW
TPL_0336,0.0367,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0337,,Template is well-optimized,LOW
TPL_0338,,Template is well-optimized,LOW
TPL_0339,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0340,,Template is well-optimized,LOW
TPL_0341,0.1138,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0342,,Template is well-optimized,LOW
TPL_0343,,Template is well-optimized,LOW
TPL_0344,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0345,,Template is well-optimized,LOW
TPL_0346,0.17,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0347,,Template is well-optimized,LOW
TPL_0348,,Template is well-optimized,LOW
TPL_0349,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0350,,Template is well-optimized,LOW
TPL_0351,0.116,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0352,,Template is well-optimized,LOW
TPL_0353,,Template is well-optimized,LOW
TPL_0354,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0355,,Template is well-optimized,LOW
TPL_0356,0.095,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0357,,Template is well-optimized,LOW
TPL_0358,,Template is well-optimized,LOW
TPL_0359,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0360,,Template is well-optimized,LOW
TPL_0361,0.06,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0362,,Template is well-optimized,LOW
TPL_0363,,Template is well-optimized,LOW
TPL_0364,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0365,,Template is well-optimized,LOW
TPL_0366,0.0587,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0367,,Template is well-optimized,LOW
TPL_0368,,Template is well-optimized,LOW
TPL_0369,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0370,,Template is well-optimized,LOW
TPL_0371,0.223,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0372,,Template is well-optimized,LOW
TPL_0373,,Template is well-optimized,LOW
TPL_0374,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0375,,Template is well-optimized,LOW
TPL_0376,0.1333,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0377,,Template is well-optimized,LOW
TPL_0378,,Template is well-optimized,LOW
TPL_0379,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0380,,Template is well-optimized,LOW
TPL_0381,0.215,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0382,,Template is well-optimized,LOW
TPL_0383,,Template is well-optimized,LOW
TPL_0384,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0385,,Template is well-optimized,LOW
TPL_0386,0.15,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0387,,Template is well-optimized,LOW
TPL_0388,,Template is well-optimized,LOW
TPL_0389,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0390,,Template is well-optimized,LOW
TPL_0391,0.163,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0392,,Template is well-optimized,LOW
TPL_0393,,Template is well-optimized,LOW
TPL_0394,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0395,,Template is well-optimized,LOW
TPL_0396,0.0825,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0397,,Template is well-optimized,LOW
TPL_0398,,Template is well-optimized,LOW
TPL_0399,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0400,,Template is well-optimized,LOW
TPL_0401,0.162,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0402,,Template is well-optimized,LOW
TPL_0403,,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0404,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0405,,Template is well-optimized,LOW
TPL_0406,0.1767,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0407,,Template is well-optimized,LOW
TPL_0408,,Template is well-optimized,LOW
TPL_0409,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0410,,Template is well-optimized,LOW
TPL_0411,0.2,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0412,,Template is well-optimized,LOW
TPL_0413,,Template is well-optimized,LOW
TPL_0414,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0415,,Template is well-optimized,LOW
TPL_0416,0.18,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0417,,Template is well-optimized,LOW
TPL_0418,,Template is well-optimized,LOW
TPL_0419,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0420,,Template is well-optimized,LOW
TPL_0421,0.246,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0422,,Template is well-optimized,LOW
TPL_0423,,Template is well-optimized,LOW
TPL_0424,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0425,,Template is well-optimized,LOW
TPL_0426,0.074,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0427,,Template is well-optimized,LOW
TPL_0428,,Template is well-optimized,LOW
TPL_0429,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0430,,Template is well-optimized,LOW
TPL_0431,0.105,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0432,,Template is well-optimized,LOW
TPL_0433,,Template is well-optimized,LOW
TPL_0434,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0435,,Template is well-optimized,LOW
TPL_0436,0.225,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0437,,Template is well-optimized,LOW
TPL_0438,,Template is well-optimized,LOW
TPL_0439,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0440,,Template is well-optimized,LOW
TPL_0441,0.04,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0442,,Template is well-optimized,LOW
TPL_0443,,Template is well-optimized,LOW
TPL_0444,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0445,,Template is well-optimized,LOW
TPL_0446,0.132,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0447,,Template is well-optimized,LOW
TPL_0448,,Template is well-optimized,LOW
TPL_0449,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0450,,Template is well-optimized,LOW
TPL_0451,0.145,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0452,,Template is well-optimized,LOW
TPL_0453,,Template is well-optimized,LOW
TPL_0454,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0455,,Template is well-optimized,LOW
TPL_0456,0.234,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0457,,Template is well-optimized,LOW
TPL_0458,,Template is well-optimized,LOW
TPL_0459,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0460,,Template is well-optimized,LOW
TPL_0461,0.189,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0462,,Template is well-optimized,LOW
TPL_0463,,Template is well-optimized,LOW
TPL_0464,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0465,,Template is well-optimized,LOW
TPL_0466,0.195,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0467,,Template is well-optimized,LOW
TPL_0468,,Template is well-optimized,LOW
